1,0.81,0.22,0.5356,0.54,
2,0.84,0.34,0.6074,0.65,
3,0.86,0.54,0.6868,0.7,
4,0.85,0.34,0.7434,0.71,
5,0.95,0.45,0.8142,0.78,
6,0.91,0.56,0.784,0.88,
7,0.87,0.78,0.822,0.86,
8,0.94,0.54,0.905,0.94,
9,0.98,0.97,0.9702,0.98,
10,0.99,0.52,0.9608,0.99,
11,0.98,0.49,0.9514,0.97,
12,0.97,0.96,0.9324,0.96,
13,0.97,0.55,0.9176,0.94,
14,0.97,0.51,0.9344,0.95,
15,0.95,0.04,0.8698,0.9,
16,1,0.91,0.9678,1,
17,1,0.99,0.9902,1,
18,0.98,0.02,0.9298,0.97,
19,1,1,0.9902,1,
20,1,0.04,0.9518,0.98,
21,0.97,0.14,0.8664,0.95,
22,0.99,0.51,0.96,0.98,
23,0.98,0.12,0.9246,0.97,
24,0.98,0.53,0.9214,0.97,
25,1,1,0.9888,1,
26,1,1,0.9894,1,
27,1,0.03,0.954,0.98,
28,0.99,0.53,0.9434,0.98,
29,1,0.02,0.9372,0.97,
30,1,0.53,0.9744,1,
31,1,0.89,0.9902,1,
32,0.99,0.99,0.9714,0.99,
33,0.99,0.06,0.933,0.99,
34,0.96,0.53,0.8984,0.95,
35,0.98,0.08,0.9384,0.97,
36,
