1,0.87,0.17,0.5588,0.54,
2,0.78,0.37,0.5878,0.64,
3,0.84,0.45,0.6464,0.65,
4,0.85,0.38,0.713,0.75,
5,0.89,0.35,0.7502,0.84,
6,0.96,0.66,0.8348,0.85,
7,0.97,0.8,0.9002,0.91,
8,0.96,0.8,0.874,0.87,
9,0.98,0.6,0.8956,0.91,
10,0.99,0.82,0.965401,0.99,
11,1,0.09,0.9482,0.98,
12,1,0.51,0.954,0.99,
13,1,0.99,0.9796,1,
14,1,1,0.99,1,
15,1,0.77,0.9832,1,
16,1,1,0.9902,1,
17,1,1,0.9964,1,
18,1,1,0.981,1,
19,1,0.59,0.9892,1,
20,1,1,0.9902,1,
21,1,1,1,1,
22,1,0.99,0.9956,1,
23,1,0.99,0.9996,1,
24,1,1,0.9956,1,
25,1,1,1,1,
26,1,1,0.9962,1,
27,1,1,1,1,
28,0.99,0.99,0.967,0.99,
29,1,0.54,0.9908,1,
30,1,1,1,1,
31,1,1,1,1,
32,1,1,0.9988,1,
33,1,1,0.9924,1,
34,1,0.5,0.977,1,
35,1,1,1,1,
36,1,0.51,0.9842,1,
37,1,1,0.9882,1,
38,1,1,0.99,1,
39,1,0.99,0.9898,1,
40,1,0.5,0.9874,1,
41,1,0.98,0.9984,1,
42,1,0.55,0.9814,1,
43,
