1,0.77,0.18,0.529,0.67,
2,0.81,0.29,0.5658,0.51,
3,0.84,0.28,0.6408,0.75,
4,0.81,0.48,0.727,0.79,
5,0.85,0.24,0.7536,0.81,
6,0.95,0.75,0.8524,0.85,
7,0.91,0.61,0.7796,0.91,
8,1,0.32,0.8342,1,
9,0.97,0.24,0.8828,0.97,
10,0.98,0.04,0.8874,0.94,
11,0.99,0.51,0.9266,0.94,
12,0.98,0.38,0.8712,0.87,
13,0.96,0.22,0.7958,0.92,
14,0.96,0.52,0.8634,0.95,
15,0.99,0.28,0.9474,0.98,
16,0.99,0.51,0.9614,0.99,
17,0.95,0.93,0.932,0.93,
18,1,0.57,0.9424,0.95,
19,0.99,0.14,0.9114,0.92,
20,1,0.66,0.8774,0.85,
21,0.99,0.79,0.9258,0.99,
22,0.99,0.97,0.9864,0.99,
23,0.99,0.07,0.8818,0.94,
24,0.96,0.02,0.913,0.93,
25,0.9,0.41,0.83,0.9,
26,0.88,0.16,0.7428,0.83,
27,0.93,0.21,0.714,0.77,
28,0.96,0.53,0.734,0.84,
29,0.92,0.06,0.745,0.84,
30,0.92,0.44,0.814,0.92,
31,0.98,0.07,0.8894,0.94,
32,1,0.51,0.8944,0.89,
33,1,0.72,0.8118,0.73,
34,0.99,0.06,0.7376,0.99,
35,0.99,0.18,0.8606,0.98,
36,0.95,0.51,0.8976,0.91,
37,0.92,0.84,0.8512,0.84,
