1,0.82,0.27,0.5344,0.56,
2,0.77,0.21,0.5646,0.58,
3,0.84,0.22,0.6136,0.63,
4,0.79,0.38,0.6082,0.63,
5,0.82,0.25,0.6632,0.68,
6,0.84,0.32,0.668,0.68,
7,0.85,0.32,0.6904,0.69,
8,0.93,0.43,0.7226,0.73,
9,0.83,0.53,0.7154,0.72,
10,0.73,0.2,0.6138,0.63,
11,0.9,0.02,0.5184,0.54,
12,0.94,0.03,0.5352,0.53,
13,0.93,0.01,0.5556,0.5,
14,0.91,0.37,0.593,0.46,
15,0.83,0.25,0.6014,0.64,
16,0.77,0.49,0.7384,0.75,
17,0.88,0.2,0.7352,0.84,
18,1,0.97,0.9972,1,
19,1,0.46,0.989,1,
20,1,1,0.99,1,
21,1,0.49,0.9808,0.99,
22,0.98,0.5,0.9326,0.98,
23,0.99,0.48,0.9604,0.99,
24,0.99,0.51,0.9518,0.99,
25,1,0.8,0.976,1,
26,1,0.01,0.975,1,
27,1,1,1,1,
28,0.98,0.96,0.950799,0.96,
29,1,0.49,0.943199,0.96,
30,0.97,0.5,0.8934,0.93,
31,0.98,0.09,0.9104,0.93,
32,0.97,0.82,0.8532,0.84,
33,0.93,0.02,0.8092,0.84,
34,0.95,0.33,0.8006,0.84,
35,0.92,0.58,0.6882,0.63,
36,0.93,0.05,0.5298,0.52,
37,0.97,0.35,0.6136,0.6,
38,0.97,0.54,0.7444,0.7,
39,0.93,0.19,0.8194,0.81,
40,
