1,9.71,3.15,6.4154,7,
2,10.14,2.97,6.6652,7.49,
3,10.17,3.23,7.3136,9.09,
4,8.52,3.68,7.1246,7.41,
5,8,2.42,6.4492,7.17,
6,9.94,4.85,8.0536,9.91,
7,10.47,5.24,9.514,10.37,
8,10.71,1.15,10.2756,10.71,
9,11.38,6.19,11.2248,11.36,
10,11.69,7.27,11.1292,11.29,
11,11.3,5.29,10.3988,10.85,
12,11.48,8.16,10.7362,10.48,
13,11.35,8.77,10.6292,11.35,
14,11.74,1.22,11.0266,11.67,
15,11.74,1.12,11.3006,11.64,
16,11.87,1.25,11.2202,11.87,
17,11.9,2.4,11.5446,11.9,
18,11.74,1.26,11.2288,11.74,
19,12,0.66,11.3964,12,
20,11.64,0.93,10.8896,11.54,
21,11.57,9.09,11.2746,11.44,
22,11.74,1.2,11.0336,11.24,
23,11.38,4.91,10.1908,10.08,
24,11.75,4.96,9.247,9.35,
25,11.82,4.91,9.3686,9.82,
26,12,3.41,9.0602,8.13,
27,11.7,2.69,9.4404,11.47,
28,11.59,3.19,10.1778,11.46,
29,12,4.94,11.2286,11.32,
30,11.9,3.8,11.1108,11.38,
31,11.77,8.02,11.294,11.77,
32,12,7.4,11.8184,12,
33,11.8,5.63,11.6766,11.8,
34,11.77,3.26,11.0938,11.54,
35,11.93,6.44,11.7622,11.87,
36,11.87,9.75,11.689,11.74,
37,12,12,12,12,
