1,0.8,0.2,0.55,0.8,
2,1,0.35,0.7,1,
3,0.85,0.05,0.57,0.65,
4,0.8,0.3,0.66,0.7,
5,0.75,0.45,0.61,0.55,
6,0.9,0.4,0.69,0.9,
7,0.9,0.1,0.64,0.8,
8,1,0.15,0.665,0.7,
9,0.9,0.2,0.58,0.5,
10,0.95,0.45,0.85,0.9,
11,0.95,0.15,0.73,0.75,
12,0.9,0.6,0.84,0.9,
13,0.85,0.25,0.705,0.75,
14,1,1,1,1,
15,0.95,0.1,0.85,0.95,
16,1,0.1,0.9,1,
17,0.95,0.45,0.795,0.95,
18,0.9,0.2,0.695,0.8,
19,0.9,0.25,0.755,0.75,
20,0.95,0.35,0.76,0.8,
21,1,1,1,1,
22,0.95,0.55,0.91,0.95,
23,0.95,0.55,0.91,0.95,
24,1,1,1,1,
25,1,0.5,0.95,1,
26,1,1,1,1,
27,0.95,0.55,0.91,0.95,
28,1,1,1,1,
29,1,1,1,1,
30,1,1,1,1,
31,1,0.95,0.955,0.95,
32,1,0.55,0.885,0.9,
33,1,0.85,0.92,1,
34,1,0.85,0.92,0.9,
35,1,0.75,0.875,0.8,
36,0.95,0.55,0.84,0.95,
37,1,0.7,0.93,1,
38,1,1,1,1,
39,1,1,1,1,
40,1,1,1,1,
41,1,1,1,1,
42,1,1,1,1,
43,1,0.6,0.96,1,
44,1,0.05,0.905,1,
45,1,0.95,0.955,1,
46,1,0.55,0.835,1,
47,1,0.65,0.895,1,
48,1,0.55,0.955,1,
49,1,1,1,1,
50,1,0.45,0.935,1,
51,1,0.55,0.955,1,
52,1,1,1,1,
53,1,0.95,0.985,1,
54,1,0.95,0.99,1,
55,1,1,1,1,
56,1,1,1,1,
57,1,0.95,0.995,1,
58,1,1,1,1,
59,1,1,1,1,
60,0.95,0.1,0.865,0.95,
61,1,1,1,1,
62,1,1,1,1,
63,0.95,0.95,0.95,0.95,
64,1,0.9,0.95,0.95,
65,0.95,0.6,0.9,0.95,
66,0.95,0.35,0.825,0.85,
67,0.95,0.7,0.91,0.95,
68,1,0.9,0.99,1,
69,1,0.9,0.97,1,
70,1,1,1,1,
71,1,0.85,0.985,1,
72,1,1,1,1,
73,1,0.9,0.91,0.9,
74,1,0.7,0.79,1,
75,0.95,0.65,0.75,0.65,
76,0.9,0.4,0.68,0.9,
77,0.9,0.4,0.805,0.9,
78,1,1,1,1,
79,0.95,0.95,0.95,0.95,
80,0.95,0.95,0.95,0.95,
81,0.95,0.55,0.91,0.95,
82,1,1,1,1,
83,0.95,0.95,0.95,0.95,
84,0.95,0.95,0.95,0.95,
85,1,1,1,1,
86,0.95,0.95,0.95,0.95,
87,0.9,0.65,0.855,0.9,
88,0.95,0.45,0.8,0.85,
89,1,0.75,0.8,0.75,
90,1,0.9,0.96,1,
91,0.95,0.05,0.86,0.95,
92,1,0.05,0.86,0.95,
93,0.95,0.5,0.905,0.95,
94,0.85,0.5,0.725,0.85,
95,1,0.5,0.95,1,
96,1,1,1,1,
97,1,0.5,0.95,1,
98,1,1,1,1,
99,1,1,1,1,
100,1,1,1,1,
101,1,1,1,1,
102,1,0.95,0.96,0.95,
103,1,0.55,0.955,1,
104,1,0.5,0.95,1,
105,1,1,1,1,
106,1,0.95,0.99,1,
107,1,1,1,1,
108,1,0.95,0.995,1,
109,1,1,1,1,
110,1,1,1,1,
111,1,1,1,1,
